name,hubble_type,type_group,B_T,R_d_kpc,Sigma0,shear,compactness,v2_ape,per_galaxy_ape,delta_ape,v2_params,per_galaxy_params
NGC7814,Sab,early,0.5,2.54,1317.65,1.3419287013320815,5.945716666666667,10.575603485107422,6.113504886627197,4.462098598480225,"{'eta': 0.0737129223133022, 'ring_amp': 0.339859525882989, 'M_max': 1.3161195195164916, 'lambda_ring': 8.269427295624421, 'kappa': np.float64(0.36679172222256967), 'R0': 5.08, 'R1': 71.12, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.10583797956639607, 'ring_amp': 9.928959834996647, 'M_max': 1.597518481035988, 'bulge_gate_power': 5.21415245691028, 'lambda_hat': 15.66023996440374}"
PGC51017,BCD,late,0.08,0.53,46.97,0.6539479457512405,0.007424416666666665,99.82437896728516,20.448741912841797,79.37563705444336,"{'eta': 0.6605154292691897, 'ring_amp': 2.144977067811634, 'M_max': 2.373796448998231, 'lambda_ring': 20.818281648684277, 'kappa': np.float64(0.5652595347592703), 'R0': 1.06, 'R1': 14.84, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000055701968361, 'ring_amp': 1.1304545784183784e-06, 'M_max': 1.3172843681936797, 'bulge_gate_power': 32.925661618404995, 'lambda_hat': 6.124111994446691}"
UGC00128,Sdm,late,0.08,5.95,44.445,0.7471329539584199,3.561273333333334,22.89752197265625,7.236753940582275,15.660768032073975,"{'eta': 0.6551672705704596, 'ring_amp': 2.077893629959742, 'M_max': 2.362800652802691, 'lambda_ring': 20.28029414282326, 'kappa': np.float64(0.5448356800895677), 'R0': 11.9, 'R1': 166.6, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.8050117764872905, 'ring_amp': 0.21545726686329428, 'M_max': 3.1911365962998026, 'bulge_gate_power': 15.199707433951124, 'lambda_hat': 11.963216023955393}"
UGC00191,Sm,late,0.03,1.58,103.705,0.7824603813935006,0.37028998499999993,14.474132537841797,5.022462844848633,9.451669692993164,"{'eta': 0.8777878630920538, 'ring_amp': 2.450645955573926, 'M_max': 2.788360203721783, 'lambda_ring': 21.88349323532556, 'kappa': np.float64(0.612661701125857), 'R0': 3.16, 'R1': 44.24, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.28730568835019143, 'ring_amp': 4.405995103068821, 'M_max': 1.6616180104413751, 'bulge_gate_power': 58.14205878736691, 'lambda_hat': 36.0807473229175}"
UGC00634,Sm,late,0.03,2.45,63.065,0.922460383753429,0.9525600000000002,7.505995750427246,0.9346933960914612,6.571302354335785,"{'eta': 0.8442413351617698, 'ring_amp': 2.2794701129080472, 'M_max': 2.72544473848592, 'lambda_ring': 20.6308222698272, 'kappa': np.float64(0.5559311702194223), 'R0': 4.9, 'R1': 68.60000000000001, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.22759376261831638, 'ring_amp': 2.7975740682968726, 'M_max': 4.4629943819955775, 'bulge_gate_power': 5.657761780333264, 'lambda_hat': 10.853588202914668}"
UGC00731,Im,late,0.0,2.3,41.285,0.2576727279789589,0.4198266666666666,28.727609634399414,20.20046615600586,8.527143478393555,"{'eta': 0.9005844200275185, 'ring_amp': 2.996181445064365, 'M_max': 2.8374973673073423, 'lambda_ring': 24.97348225739142, 'kappa': np.float64(0.6771808814132845), 'R0': 4.6, 'R1': 64.39999999999999, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.6330298709178184, 'ring_amp': 14.97930415176282, 'M_max': 3.5720526455637587, 'bulge_gate_power': 24.190861249314782, 'lambda_hat': 18.87341560548997}"
UGC00891,Sm,late,0.03,1.43,56.99,0.7589593964694088,0.19372031249999996,11.99629020690918,2.6980786323547363,9.298211574554443,"{'eta': 0.8348399531539297, 'ring_amp': 2.4751842964398225, 'M_max': 2.7078127402024443, 'lambda_ring': 22.06306569523282, 'kappa': np.float64(0.5848651449434089), 'R0': 2.86, 'R1': 40.04, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.6080966426605847, 'ring_amp': 0.8178921658663845, 'M_max': 4.683688427134381, 'bulge_gate_power': 37.299802610120324, 'lambda_hat': 16.337466601520013}"
UGC01230,Sm,late,0.03,4.34,34.66,0.8829150450108829,1.847248666666666,16.686616897583008,6.647810459136963,10.038806438446045,"{'eta': 0.7742621813399493, 'ring_amp': 2.3315700406976774, 'M_max': 2.5942010214412927, 'lambda_ring': 21.01209141289209, 'kappa': np.float64(0.5308256262219464), 'R0': 8.68, 'R1': 121.52, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.020220617656548895, 'ring_amp': 8.595146032962564, 'M_max': 2.4290962477720663, 'bulge_gate_power': 8.735735824503251, 'lambda_hat': 33.933476211975886}"
UGC01281,Sdm,late,0.08,1.63,67.89,0.932267381367586,0.17591014333333332,37.597801208496094,17.848468780517578,19.749332427978516,"{'eta': 0.6900045496230236, 'ring_amp': 1.8934083620345328, 'M_max': 2.4344259807048156, 'lambda_ring': 18.800781876646425, 'kappa': np.float64(0.5317649098754664), 'R0': 3.26, 'R1': 45.64, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.3717177017617251, 'ring_amp': 6.069188579886454, 'M_max': 3.313299283462657, 'bulge_gate_power': 45.8037138675282, 'lambda_hat': 45.056010157773464}"
UGC02023,Im,late,0.0,1.55,60.785,0.8156215940762843,0.1786344,48.146812438964844,11.747503280639648,36.399309158325195,"{'eta': 0.9487020926131485, 'ring_amp': 2.6834136723228874, 'M_max': 2.9234980116434564, 'lambda_ring': 22.80148383557561, 'kappa': np.float64(0.5938055874691268), 'R0': 3.1, 'R1': 43.4, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.2391769778637427, 'ring_amp': 1.0492365262205836e-08, 'M_max': 1.7633332409565416, 'bulge_gate_power': 28.376373658752335, 'lambda_hat': 9.007213954656716}"
UGC02259,Sdm,late,0.08,1.62,86.26,0.8168329307583737,0.43740000000000007,16.194578170776367,5.0568976402282715,11.137680530548096,"{'eta': 0.703871324899311, 'ring_amp': 2.015522847386352, 'M_max': 2.4629360237713414, 'lambda_ring': 19.780100610265478, 'kappa': np.float64(0.5655019596456887), 'R0': 3.24, 'R1': 45.36, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.1272756371639874, 'ring_amp': 10.314714577251907, 'M_max': 2.6186705374775534, 'bulge_gate_power': 32.62845156090741, 'lambda_hat': 20.60885273802716}"
UGC02455,Im,late,0.0,0.99,397.925,0.8592245785373752,0.122793,269.174560546875,108.11811065673828,161.05644989013672,"{'eta': 1.0247673356772171, 'ring_amp': 2.6253516627576166, 'M_max': 3.059449306948763, 'lambda_ring': 22.398275435816785, 'kappa': np.float64(0.6684483207180845), 'R0': 1.98, 'R1': 27.72, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000130327374, 'ring_amp': 1.9360706224021596e-05, 'M_max': 4.932058042989634, 'bulge_gate_power': 21.664525827526067, 'lambda_hat': 5.093306705052831}"
UGC02487,S0,early,0.7,7.89,575.175,1.117188312142596,38.579207000000004,24.826189041137695,3.8103158473968506,21.015873193740845,"{'eta': 0.018207281169222767, 'ring_amp': 0.29189196854424637, 'M_max': 1.2127961720592177, 'lambda_ring': 8.180090459661951, 'kappa': np.float64(0.3276526855720203), 'R0': 15.78, 'R1': 220.92, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.017887144739833116, 'ring_amp': 0.10502981270279914, 'M_max': 3.58457585736881, 'bulge_gate_power': 0.500463496346837, 'lambda_hat': 27.80502882493762}"
UGC02885,Sc,intermediate,0.15,1.4,235.395,1.0104792767762747,4.341166666666665,39.38949966430664,3.6207661628723145,35.768733501434326,"{'eta': 0.5361539189163392, 'ring_amp': 1.393684747506289, 'M_max': 2.1602242499181985, 'lambda_ring': 16.020086710202147, 'kappa': np.float64(0.523802535062008), 'R0': 2.8, 'R1': 39.199999999999996, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000000020863991, 'ring_amp': 14.99999929063544, 'M_max': 2.2675968871788657, 'bulge_gate_power': 52.53113004602132, 'lambda_hat': 49.999983705368685}"
UGC02916,Sab,early,0.5,6.15,260.495,1.2158252941160592,9.742420000000003,13.279919624328613,12.976123809814453,0.30379581451416016,"{'eta': 0.07301331726669397, 'ring_amp': 0.3710123572612581, 'M_max': 1.3086275907408234, 'lambda_ring': 8.845663616600504, 'kappa': np.float64(0.3660312724456047), 'R0': 12.3, 'R1': 172.20000000000002, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.02041677739210631, 'ring_amp': 11.294320494892373, 'M_max': 0.5098547435351375, 'bulge_gate_power': 31.70108475464744, 'lambda_hat': 20.08492927244171}"
UGC02953,Sab,early,0.5,3.55,2107.655,1.1518283099836673,12.041718333333334,15.270065307617188,12.256460189819336,3.0136051177978516,"{'eta': 0.07374771070603987, 'ring_amp': 0.38837288785499074, 'M_max': 1.3164920613697473, 'lambda_ring': 9.166782687867443, 'kappa': np.float64(0.37970380117968283), 'R0': 7.1, 'R1': 99.39999999999999, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.023279403401194054, 'ring_amp': 5.5568524100396454e-06, 'M_max': 2.6965702579346296, 'bulge_gate_power': 45.219134639365365, 'lambda_hat': 13.580997205046865}"
UGC03205,Sab,early,0.5,3.19,1957.945,0.8833881094078544,5.972637,7.46228551864624,5.485504150390625,1.9767813682556152,"{'eta': 0.07374373348647302, 'ring_amp': 0.4630232840187083, 'M_max': 1.316449470130784, 'lambda_ring': 10.547596814277611, 'kappa': np.float64(0.39905732462054516), 'R0': 6.38, 'R1': 89.32, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.033592373485993046, 'ring_amp': 14.963537668762404, 'M_max': 4.550927194782492, 'bulge_gate_power': 57.00814853344115, 'lambda_hat': 49.99259867249634}"
UGC03546,Sa,early,0.6,3.79,461.105,1.2502723535378235,8.672025333333336,25.39013671875,24.342832565307617,1.0473041534423828,"{'eta': 0.035963314196766405, 'ring_amp': 0.29655097258769736, 'M_max': 1.2445131703985937, 'lambda_ring': 8.007042129840334, 'kappa': np.float64(0.34328092864713167), 'R0': 7.58, 'R1': 106.12, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.028927260879246942, 'ring_amp': 0.21934834582405505, 'M_max': 1.3606107343819729, 'bulge_gate_power': 49.362544410982295, 'lambda_hat': 19.682083022720082}"
UGC03580,Sa,early,0.6,2.43,151.285,1.2689354125275953,1.3900410000000003,38.35490036010742,31.646156311035156,6.708744049072266,"{'eta': 0.035296617242517724, 'ring_amp': 0.2926844179616338, 'M_max': 1.230695363463294, 'lambda_ring': 7.926493897541031, 'kappa': np.float64(0.3378557288230936), 'R0': 4.86, 'R1': 68.04, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.09117547679069307, 'ring_amp': 11.907026947695538, 'M_max': 3.57886316701464, 'bulge_gate_power': 14.347544494436688, 'lambda_hat': 15.853435883807851}"
UGC04278,Sd,late,0.06,2.21,188.71,0.6429914795259386,0.6344055466666666,13.278467178344727,7.70396614074707,5.574501037597656,"{'eta': 0.7933074165829428, 'ring_amp': 2.3130102193208955, 'M_max': 2.6331619006336844, 'lambda_ring': 21.616709016643124, 'kappa': np.float64(0.6541182650025275), 'R0': 4.42, 'R1': 61.879999999999995, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.4611524653841675, 'ring_amp': 1.6262127932334784, 'M_max': 2.394914824347743, 'bulge_gate_power': 36.13250635883452, 'lambda_hat': 40.75018480125996}"
UGC04305,Im,late,0.0,1.16,44.035,0.45454222823101653,0.05379654666666667,99.99592590332031,19.148845672607422,80.84708023071289,"{'eta': 0.9097558134651531, 'ring_amp': 2.963692624162647, 'M_max': 2.85388938509858, 'lambda_ring': 24.747865445573936, 'kappa': np.float64(0.6502870409867729), 'R0': 2.32, 'R1': 32.48, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000007126401447, 'ring_amp': 1.73071257277885e-06, 'M_max': 3.004641773757375, 'bulge_gate_power': 30.612783843749337, 'lambda_hat': 15.762632379669899}"
UGC04325,Sm,late,0.03,1.86,106.61,0.91887011247814,0.53278398,21.0907039642334,7.138055801391602,13.952648162841797,"{'eta': 0.8791266830400266, 'ring_amp': 2.284296714536846, 'M_max': 2.7908711187133077, 'lambda_ring': 20.666143513924855, 'kappa': np.float64(0.582155448200712), 'R0': 3.72, 'R1': 52.080000000000005, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.4841072370729262, 'ring_amp': 9.971244327340603, 'M_max': 1.8641850340001926, 'bulge_gate_power': 31.48595499314208, 'lambda_hat': 19.406126229028672}"
UGC04483,Im,late,0.0,0.18,41.285,0.44297655757367493,0.0035429399999999996,20.992664337158203,7.394383430480957,13.598280906677246,"{'eta': 0.9005844200275185, 'ring_amp': 2.967184436271061, 'M_max': 2.8374973673073423, 'lambda_ring': 24.772114140771258, 'kappa': np.float64(0.6472519736462183), 'R0': 0.36, 'R1': 5.04, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9160981889709015, 'ring_amp': 14.050803654298946, 'M_max': 1.8582624404748467, 'bulge_gate_power': 58.8705957691767, 'lambda_hat': 31.911406893207662}"
UGC04499,Sdm,late,0.08,1.73,63.65,0.7722508236398165,0.31834825666666666,13.242345809936523,4.843179702758789,8.399166107177734,"{'eta': 0.6855933909491337, 'ring_amp': 2.0565619562999995, 'M_max': 2.425356653391137, 'lambda_ring': 20.109221009490653, 'kappa': np.float64(0.559485753058971), 'R0': 3.46, 'R1': 48.44, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.6904581507230849, 'ring_amp': 5.446116617693984, 'M_max': 1.5808706508855785, 'bulge_gate_power': 24.298193878640443, 'lambda_hat': 5.890454689032353}"
UGC05005,Im,late,0.0,3.2,32.795,0.8345026834505972,1.0666666666666667,10.975128173828125,3.5490033626556396,7.426124811172485,"{'eta': 0.8642837369868577, 'ring_amp': 2.658817383276843, 'M_max': 2.7726172107332228, 'lambda_ring': 22.630676272755856, 'kappa': np.float64(0.5513247836468789), 'R0': 6.4, 'R1': 89.60000000000001, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.10376890672451011, 'ring_amp': 0.845491684280959, 'M_max': 3.475154324463352, 'bulge_gate_power': 44.90901112587429, 'lambda_hat': 21.36438837777115}"
UGC05253,Sab,early,0.5,8.07,94.58,1.3550420207815015,16.544576,15.270663261413574,13.171425819396973,2.0992374420166016,"{'eta': 0.07051241483994783, 'ring_amp': 0.33689621528970565, 'M_max': 1.2818459330799552, 'lambda_ring': 8.214614711386117, 'kappa': np.float64(0.3512497653923845), 'R0': 16.14, 'R1': 225.96, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.029586242547845025, 'ring_amp': 9.240535973053504, 'M_max': 1.2123951734951617, 'bulge_gate_power': 32.796008125324015, 'lambda_hat': 20.466560750540815}"
UGC05414,Im,late,0.0,1.47,63.65,0.8106230296489328,0.18472803999999998,27.552459716796875,1.735587239265442,25.816872477531433,"{'eta': 0.9533450504941364, 'ring_amp': 2.6897781594774455, 'M_max': 2.9317963633286883, 'lambda_ring': 22.845681663037816, 'kappa': np.float64(0.5976964735642671), 'R0': 2.94, 'R1': 41.16, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.23437461827226352, 'ring_amp': 3.0116628414926994, 'M_max': 4.290186151874078, 'bulge_gate_power': 32.18812390868344, 'lambda_hat': 48.791182558441974}"
UGC05716,Sm,late,0.03,1.14,45.27,0.7884178685439186,0.21204341999999995,11.853663444519043,3.2386319637298584,8.615031480789185,"{'eta': 0.8097755368845241, 'ring_amp': 2.44420951125334, 'M_max': 2.6608052104297006, 'lambda_ring': 21.83639110458166, 'kappa': np.float64(0.5649139846553757), 'R0': 2.28, 'R1': 31.919999999999998, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.38666796005190607, 'ring_amp': 12.051988830583563, 'M_max': 3.9154518913313012, 'bulge_gate_power': 4.987520524494267, 'lambda_hat': 8.428179074122932}"
UGC05721,Sd,late,0.06,0.38,456.88,0.8796344544604959,0.08642162666666665,19.594175338745117,4.357563018798828,15.236612319946289,"{'eta': 0.8030999570536483, 'ring_amp': 2.097948255422285, 'M_max': 2.65253265708329, 'lambda_ring': 19.95504797145853, 'kappa': np.float64(0.624015911013301), 'R0': 0.76, 'R1': 10.64, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.99997872122782, 'ring_amp': 1.6317400912606659, 'M_max': 4.996299462169222, 'bulge_gate_power': 29.65462174397092, 'lambda_hat': 28.628410984297652}"
UGC05750,Sdm,late,0.08,3.46,62.49,0.4750955123104792,0.7179742200000001,14.625750541687012,9.835042953491211,4.790707588195801,"{'eta': 0.6842790791992959, 'ring_amp': 2.22217591470308, 'M_max': 2.4226544328788604, 'lambda_ring': 21.43739146810306, 'kappa': np.float64(0.6160586577534297), 'R0': 6.92, 'R1': 96.88, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.011297472658232936, 'ring_amp': 9.959735913346806, 'M_max': 1.5271353390827174, 'bulge_gate_power': 43.65697945412187, 'lambda_hat': 48.70442578976017}"
UGC05764,Im,late,0.0,1.17,16.895,0.7117271581568223,0.12143195999999995,36.44399642944336,13.208073616027832,23.235922813415527,"{'eta': 0.7404551548934558, 'ring_amp': 2.801786269872815, 'M_max': 2.5512985709276825, 'lambda_ring': 23.62351576300566, 'kappa': np.float64(0.5282661207430002), 'R0': 2.34, 'R1': 32.76, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9999994979014182, 'ring_amp': 14.999999740755058, 'M_max': 4.999998687167821, 'bulge_gate_power': 50.065585231035165, 'lambda_hat': 49.99996766216697}"
UGC05829,Im,late,0.0,1.99,31.61,0.20293949483763185,0.31216201333333327,20.553773880004883,6.256515979766846,14.297257900238037,"{'eta': 0.8580079556680006, 'ring_amp': 2.9985288440148175, 'M_max': 2.7614005161565314, 'lambda_ring': 24.98978363899179, 'kappa': np.float64(0.659081497635265), 'R0': 3.98, 'R1': 55.72, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.3306518409285397, 'ring_amp': 8.570437409227953, 'M_max': 2.064195992158366, 'bulge_gate_power': 32.16519348680047, 'lambda_hat': 22.071471624324346}"
UGC05918,Im,late,0.0,1.66,12.47,0.7052886679937975,0.10957383333333334,28.592304229736328,6.028148174285889,22.56415605545044,"{'eta': 0.6852397586233601, 'ring_amp': 2.8081076119718027, 'M_max': 2.4526121756526074, 'lambda_ring': 23.66741397202641, 'kappa': np.float64(0.5075503135333241), 'R0': 3.32, 'R1': 46.48, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9991709877499908, 'ring_amp': 14.28122151259099, 'M_max': 2.888342025191147, 'bulge_gate_power': 33.98571675526483, 'lambda_hat': 31.83197719967786}"
UGC05986,Sm,late,0.03,1.67,862.58,0.8142853854901662,0.7490506666666665,15.701290130615234,2.0996601581573486,13.601629972457886,"{'eta': 0.9118419918675614, 'ring_amp': 2.4152873533311947, 'M_max': 2.8522276584868673, 'lambda_ring': 21.62473771398409, 'kappa': np.float64(0.6791400847206808), 'R0': 3.34, 'R1': 46.76, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.8275429144478526, 'ring_amp': 2.4280014620463097, 'M_max': 2.6592361414114736, 'bulge_gate_power': 54.93546072740201, 'lambda_hat': 6.404091538446822}"
UGC05999,Im,late,0.0,3.22,25.81,0.8388237984701755,1.0733333333333335,7.5283613204956055,4.051951885223389,3.476409435272217,"{'eta': 0.821566025562171, 'ring_amp': 2.653068278258988, 'M_max': 2.696267908913825, 'lambda_ring': 22.590751932354085, 'kappa': np.float64(0.5349927752218793), 'R0': 6.44, 'R1': 90.16000000000001, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.072008886242348, 'ring_amp': 3.6985730802582877e-07, 'M_max': 2.249314888077264, 'bulge_gate_power': 44.92074114230106, 'lambda_hat': 5.29343584742097}"
UGC06399,Sm,late,0.03,2.05,155.525,0.7006854298099559,0.5243735999999998,8.915095329284668,1.7767183780670166,7.138376951217651,"{'eta': 0.8933153164427575, 'ring_amp': 2.5299122790961963, 'M_max': 2.8174814574478884, 'lambda_ring': 22.463567038215857, 'kappa': np.float64(0.6529786760191449), 'R0': 4.1, 'R1': 57.39999999999999, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.29630430435262267, 'ring_amp': 14.824086996604096, 'M_max': 2.1132763581032554, 'bulge_gate_power': 35.248983493819885, 'lambda_hat': 8.701718082098315}"
UGC06446,Sd,late,0.06,1.49,43.23,0.8500699012956335,0.3579978300000001,15.72320556640625,2.8596813678741455,12.863524198532104,"{'eta': 0.7102086783775113, 'ring_amp': 2.1312139551187905, 'M_max': 2.468783165221525, 'lambda_ring': 20.212073046113538, 'kappa': np.float64(0.5346598684460692), 'R0': 2.98, 'R1': 41.72, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.8249405790672998, 'ring_amp': 11.95492824760097, 'M_max': 3.1052393192905763, 'bulge_gate_power': 29.695092123072154, 'lambda_hat': 10.743420556487392}"
UGC06614,Sa,early,0.6,5.1,270.27,1.0945440944044267,7.1442499999999995,16.706348419189453,11.799595832824707,4.906752586364746,"{'eta': 0.035768590025071705, 'ring_amp': 0.33129976489054985, 'M_max': 1.2404773622357295, 'lambda_ring': 8.730930465896224, 'kappa': np.float64(0.34692985394257014), 'R0': 10.2, 'R1': 142.79999999999998, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.02529106783793504, 'ring_amp': 1.2186040207843774, 'M_max': 2.6528631802319356, 'bulge_gate_power': 10.952837072010661, 'lambda_hat': 13.904485676344656}"
UGC06628,Sm,late,0.03,2.82,51.5,0.7014814435983038,0.16819325999999996,63.84296417236328,16.663469314575195,47.179494857788086,"{'eta': 0.824454330574429, 'ring_amp': 2.5292250226050994, 'M_max': 2.6883348294716733, 'lambda_ring': 22.45853767052682, 'kappa': np.float64(0.5909001467099224), 'R0': 5.64, 'R1': 78.96, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.01000000000028691, 'ring_amp': 7.73630681400365e-07, 'M_max': 1.0138968130010644, 'bulge_gate_power': 17.933818910240067, 'lambda_hat': 14.211366357990753}"
UGC06667,Scd,late,0.08,5.15,307.47,0.6895802228465349,1.2608041166666668,62.31078338623047,17.776330947875977,44.53445243835449,"{'eta': 0.7350381852095014, 'ring_amp': 2.121604787484539, 'M_max': 2.527014983153584, 'lambda_ring': 20.630843508927345, 'kappa': np.float64(0.6463685167820975), 'R0': 10.3, 'R1': 144.20000000000002, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9608187202450713, 'ring_amp': 10.032261526586257, 'M_max': 4.999999929938677, 'bulge_gate_power': 32.84385257437574, 'lambda_hat': 21.787292723487134}"
UGC06786,S0,early,0.7,3.6,539.26,1.3749122374021847,6.2929200000000005,15.991812705993652,4.072301864624023,11.919510841369629,"{'eta': 0.018201348817757444, 'ring_amp': 0.24382174837707388, 'M_max': 1.2125593839830946, 'lambda_ring': 7.118782826055002, 'kappa': np.float64(0.32221673279309565), 'R0': 7.2, 'R1': 100.8, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.05700144872734146, 'ring_amp': 14.625050004807045, 'M_max': 3.2625441832846556, 'bulge_gate_power': 15.65181619350056, 'lambda_hat': 41.07401039279666}"
UGC06787,Sab,early,0.5,5.37,214.685,1.3928135794566356,13.635503999999997,18.915616989135742,10.665451049804688,8.250165939331055,"{'eta': 0.07276181560980285, 'ring_amp': 0.32867215728100435, 'M_max': 1.3059343104257004, 'lambda_ring': 8.062493677092789, 'kappa': np.float64(0.3557994090125228), 'R0': 10.74, 'R1': 150.36, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.08061488188145274, 'ring_amp': 2.822592291903348, 'M_max': 3.9520493745657483, 'bulge_gate_power': 7.26032054278157, 'lambda_hat': 30.17653421884253}"
UGC06818,Sm,late,0.03,1.39,143.155,0.9151058277422908,0.25647168000000004,47.624855041503906,16.355037689208984,31.269817352294922,"{'eta': 0.8907823986514075, 'ring_amp': 2.2893379735805404, 'M_max': 2.8127310492513034, 'lambda_ring': 20.7030356286955, 'kappa': np.float64(0.5958706322715045), 'R0': 2.78, 'R1': 38.919999999999995, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.214135430249747, 'ring_amp': 7.390131132579357e-09, 'M_max': 4.914606517294215, 'bulge_gate_power': 5.422512129670671, 'lambda_hat': 38.74758870085359}"
UGC06917,Sm,late,0.03,2.76,130.555,0.9101284433829959,1.133532,11.63076114654541,2.629192590713501,9.00156855583191,"{'eta': 0.8876131421534257, 'ring_amp': 2.2959726896693704, 'M_max': 2.806787207687828, 'lambda_ring': 20.7515887193616, 'kappa': np.float64(0.5931421242433113), 'R0': 5.52, 'R1': 77.28, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.025273265706641, 'ring_amp': 0.19822776515074453, 'M_max': 1.245855447665971, 'bulge_gate_power': 40.2876501951193, 'lambda_hat': 16.868929063061504}"
UGC06923,Im,late,0.0,1.44,173.7,0.8884266247969662,0.31570607999999994,57.108951568603516,10.151335716247559,46.95761585235596,"{'eta': 1.0111343614884258, 'ring_amp': 2.5841443097975567, 'M_max': 3.0350831125455078, 'lambda_ring': 22.112113262483035, 'kappa': np.float64(0.6297274405013081), 'R0': 2.88, 'R1': 40.32, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.0946491836817684, 'ring_amp': 3.3293534457802014, 'M_max': 3.138564508517426, 'bulge_gate_power': 48.237766382903565, 'lambda_hat': 48.427210133893745}"
UGC06930,Sd,late,0.06,3.94,94.58,0.8177628834685315,1.5603713333333333,13.460443496704102,3.935049533843994,9.525393962860107,"{'eta': 0.7710123243043211, 'ring_amp': 2.1657637546036894, 'M_max': 2.589059677738347, 'lambda_ring': 20.47901962691413, 'kappa': np.float64(0.581415260109452), 'R0': 7.88, 'R1': 110.32, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 1.9997903883327297, 'ring_amp': 0.006183125770677009, 'M_max': 1.072043546570788, 'bulge_gate_power': 22.791481610083668, 'lambda_hat': 24.169588314194396}"
UGC06973,Sab,early,0.5,1.07,6365.025,1.426900626330273,1.1556000000000002,62.77688217163086,38.69980239868164,24.07707977294922,"{'eta': 0.0737752834148638, 'ring_amp': 0.3216511768615354, 'M_max': 1.3167873319251309, 'lambda_ring': 7.932626061612351, 'kappa': np.float64(0.36526199555741834), 'R0': 2.14, 'R1': 29.96, 'q': 3.5, 'p': 2.0, 'k_an': 1.4}","{'eta': 0.010000001320368187, 'ring_amp': 0.001023723631695226, 'M_max': 2.7841331476193307, 'bulge_gate_power': 58.97967688868035, 'lambda_hat': 11.064257353770923}"
