name,hubble_type,type_group,param_source,ape,rms,chi2_reduced,n_points,elapsed,params_used
NGC4100,Sbc,intermediate,class_intermediate,15.298468559553548,33.7109473705295,35.940811011737715,23,0.022449493408203125,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC4138,S0,early,class_early,10.794758825741514,21.254612789940296,4.44182438622665,7,0.0115509033203125,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
NGC4157,Sb,early,class_early,34.81574723417478,80.3730914199546,87.95643375236078,17,0.01949477195739746,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
NGC4183,Scd,late,class_late,50.822051306994084,52.38464298084413,94.66227499413795,23,0.024018049240112305,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC4214,Im,late,class_late,20.162249637356812,16.69905275924817,6.830417457318366,14,0.016900062561035156,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC4217,Sb,early,class_early,74.30952255652407,127.66079674452365,321.61608875145436,19,0.018703222274780273,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
NGC4389,Sbc,intermediate,class_intermediate,135.42840249185306,75.79451828660672,169.31923008824228,6,0.01183462142944336,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC4559,Scd,late,class_late,86.05060881205145,94.03074802632639,347.74650495337283,32,0.02885270118713379,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC5005,Sbc,intermediate,class_intermediate,48.033479839093495,154.30134608031807,122.93425176610538,18,0.01986861228942871,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC5033,Sc,intermediate,class_intermediate,32.056909273911906,103.53609609719902,214.51026473467695,22,0.02276468276977539,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC5055,Sbc,intermediate,class_intermediate,58.900009904260436,157.8548570507857,3420.2743647343514,28,0.025079011917114258,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC5371,Sbc,intermediate,class_intermediate,67.59238593873118,170.74644150472415,1956.0168177682197,19,0.021750211715698242,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC5585,Sd,late,class_late,86.8907079227842,40.49687585523733,349.25270711210334,24,0.024925708770751953,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC5907,Sc,intermediate,class_intermediate,12.549835206594572,43.88390881865265,178.98403111562652,19,0.02214789390563965,"{'eta': 0.015, 'ring_amp': 0.0, 'M_max': 1.376, 'bulge_gate_power': 32.962, 'lambda_hat': 15.499}"
NGC5985,Sb,early,class_early,12.882138741746694,46.20829355862278,94.65605032760956,32,0.029044628143310547,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
NGC6015,Scd,late,class_late,68.97760678050055,104.11674599986834,1805.7204499606119,44,0.0376436710357666,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
NGC6195,Sb,early,class_early,42.05905629781189,130.90765310373553,948.4172077989205,23,0.02279353141784668,"{'eta': 0.027, 'ring_amp': 1.508, 'M_max': 2.74, 'bulge_gate_power': 32.645, 'lambda_hat': 17.236}"
NGC6503,Scd,late,class_late,34.24429662804208,49.60172008068721,533.468388309157,31,0.026935815811157227,"{'eta': 0.691, 'ring_amp': 2.212, 'M_max': 2.954, 'bulge_gate_power': 33.05, 'lambda_hat': 21.787}"
